Type,Category,Feature Group,Feature, Volume (1000km3) or Flux Volume (per year) , Volume (km3) , Volume m3 
Flux,Human Activity,Grey water use,Grey water use: Domestic,0.28, 280 ," 280,000,000,000 "
Flux,Human Activity,Grey water use,Grey water use: Other,0.02, 20 ," 20,000,000,000 "
Pool,Examples,,Caspian Sea,," 78,200 "," 78,200,000,000,000 "
Pool,Examples,,Lake Baikal,," 23,600 "," 23,600,000,000,000 "
Pool,Examples,,Lake Superior,," 11,600 "," 11,600,000,000,000 "
Pool,Examples,,Lake Vostok,," 5,400 "," 5,400,000,000,000 "
Pool,Examples,,Lake Michigan,," 4,920 "," 4,920,000,000,000 "
Pool,Examples,,Grand canyon,," 4,167 "," 4,166,800,000,000 "
Pool,Examples,,Lake Huron,," 3,540 "," 3,540,000,000,000 "
Pool,Examples,,Lake Victoria,," 2,700 "," 2,700,000,000,000 "
Pool,Examples,,Lake Ontario,," 1,710 "," 1,710,000,000,000 "
Pool,Examples,,Lake Titicaca,, 893 ," 893,000,000,000 "
Pool,Examples,,Lake Erie,, 480 ," 480,000,000,000 "
Pool,Examples,,Lake Winnepeg,, 284 ," 284,000,000,000 "
Pool,Examples,,Dead Sea,, 147 ," 147,000,000,000 "
Pool,Examples,,Lake Okeechobee,, 5 ," 5,200,000,000 "
Pool,Examples,,olympic swimming pool,, 0 ," 2,500 "
